Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
Above and Beyond,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
The 8th Plague,2 wins.,2,0,0,0,0,0,0,0,0,0
The Pretender,4 nominations.,0,4,0,0,0,0,0,0,0,0
Letting Go,1 win.,1,0,0,0,0,0,0,0,0,0
Life After Tomorrow,2 wins.,2,0,0,0,0,0,0,0,0,0
Alice; I Think,2 nominations.,0,2,0,0,0,0,0,0,0,0
Don't Worry; I'm Fine,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
2005 World Figure Skating Championships,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Allein gegen die Angst,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Birthday Boy,1 win.,1,0,0,0,0,0,0,0,0,0
O Crime do Padre Amaro,2 nominations.,0,2,0,0,0,0,0,0,0,0
Trapped in the Closet: Chapters 1-12,1 nomination.,0,1,0,0,0,0,0,0,0,0
'Tis Autumn: The Search for Jackie Paris,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
30 Rock,Won 6 Golden Globes. Another 80 wins & 310 nominations.,86,310,0,0,0,0,0,0,6,0
Takva: A Man's Fear of God,18 wins & 7 nominations.,18,7,0,0,0,0,0,0,0,0
10 Items or Less,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Tsunami: The Aftermath,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,3,26,0,0,3,0,0,0,0,0
'Til Death,1 nomination.,0,1,0,0,0,0,0,0,0,0
Out of the Shadows,1 win.,1,0,0,0,0,0,0,0,0,0
Singapore Dreaming,3 wins.,3,0,0,0,0,0,0,0,0,0
The Game,5 wins & 25 nominations.,5,25,0,0,0,0,0,0,0,0
Lights Out,3 wins.,3,0,0,0,0,0,0,0,0,0
Alle lieben Jimmy,1 nomination.,0,1,0,0,0,0,0,0,0,0
20 to 1,1 nomination.,0,1,0,0,0,0,0,0,0,0
Blue Collar Comedy Tour: One for the Road,1 nomination.,0,1,0,0,0,0,0,0,0,0
11 Cameras,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
I Want to Be a Pilot,11 wins.,11,0,0,0,0,0,0,0,0,0
The Replacements,1 nomination.,0,1,0,0,0,0,0,0,0,0
2006 FIFA World Cup,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Somme: From Defeat to Victory,1 nomination.,0,1,0,0,0,0,0,0,0,0
t Schaep met de 5 pooten,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
Escape,2 wins.,2,0,0,0,0,0,0,0,0,0
Fresh Meat 21: Built Like a Brick...,1 nomination.,0,1,0,0,0,0,0,0,0,0
Feeding Frenzy 8,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ruido,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Freundschaft,3 nominations.,0,3,0,0,0,0,0,0,0,0
Ghosts,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Death Note,2 wins.,2,0,0,0,0,0,0,0,0,0
Contact,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
What Goes Around...,1 win.,1,0,0,0,0,0,0,0,0,0
13: Game of Death,5 wins & 9 nominations.,5,9,0,0,0,0,0,0,0,0
The Tokyo Trial,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
A Touch Away,1 win.,1,0,0,0,0,0,0,0,0,0
Aifric,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
Ali Rap,4 nominations.,0,4,0,0,0,0,0,0,0,0
Angie,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Agathe kann's nicht lassen,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Quebec; Quebec,1 win.,1,0,0,0,0,0,0,0,0,0
Execution,1 win.,1,0,0,0,0,0,0,0,0,0
Code Geass: Lelouch of the Rebellion,4 wins.,4,0,0,0,0,0,0,0,0,0
Ask a Ninja,1 nomination.,0,1,0,0,0,0,0,0,0,0
Blood Bank,1 win.,1,0,0,0,0,0,0,0,0,0
All Star Family Fortunes,1 nomination.,0,1,0,0,0,0,0,0,0,0
